visit_date,visitor,url
07/Jul/1995,piweba3y.prodigy.com,GET /shuttle/missions/sts-71/sts-71-patch-small.gif HTTP/1.0
07/Jul/1995,alyssa.prodigy.com,GET /shuttle/missions/sts-71/sts-71-patch-small.gif HTTP/1.0
06/Jul/1995,spidey.cor.epa.gov,GET /icons/menu.xbm HTTP/1.0
06/Jul/1995,piweba3y.prodigy.com,GET /history/apollo/apollo-13/apollo-13-patch-small.gif HTTP/1.0
06/Jul/1995,pfizergate.pfizer.com,GET /htbin/cdt_clock.pl HTTP/1.0
05/Jul/1995,piweba3y.prodigy.com,GET /shuttle/missions/sts-71/sts-71-patch-small.gif HTTP/1.0
05/Jul/1995,piweba3y.prodigy.com,GET /history/apollo/apollo-13/apollo-13-patch-small.gif HTTP/1.0
05/Jul/1995,alyssa.prodigy.com,GET /shuttle/missions/sts-71/sts-71-patch-small.gif HTTP/1.0
04/Jul/1995,piweba3y.prodigy.com,GET /shuttle/missions/sts-71/sts-71-patch-small.gif HTTP/1.0
04/Jul/1995,alyssa.prodigy.com,GET /shuttle/missions/sts-71/sts-71-patch-small.gif HTTP/1.0
04/Jul/1995,piweba3y.prodigy.com,GET /images/NASA-logosmall.gif HTTP/1.0
03/Jul/1995,134.83.184.18,GET /shuttle/countdown/video/livevideo.gif HTTP/1.0
03/Jul/1995,piweba3y.prodigy.com,GET /shuttle/missions/sts-71/sts-71-patch-small.gif HTTP/1.0
03/Jul/1995,alyssa.prodigy.com,GET /shuttle/missions/sts-71/sts-71-patch-small.gif HTTP/1.0
02/Jul/1995,piweba3y.prodigy.com,GET /shuttle/missions/sts-71/sts-71-patch-small.gif HTTP/1.0
02/Jul/1995,alyssa.prodigy.com,GET /shuttle/missions/sts-71/sts-71-patch-small.gif HTTP/1.0
02/Jul/1995,piweba3y.prodigy.com,GET /images/NASA-logosmall.gif HTTP/1.0
01/Jul/1995,burger.letters.com,GET /images/NASA-logosmall.gif HTTP/1.0
01/Jul/1995,burger.letters.com,GET /shuttle/countdown/video/livevideo.gif HTTP/1.0
01/Jul/1995,burger.letters.com,GET /shuttle/countdown/liftoff.html HTTP/1.0
